latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.855885,32.453083,1020.0,10800,Europe/Istanbul,GMT+3

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),surface_pressure_mean (hPa),cloud_cover_mean (%),precipitation_sum (mm)
2017-10-23,15.3,23.3,9.3,42,14.9,898.0,30,0.00
2017-10-24,14.4,21.6,8.4,56,25.7,896.1,91,0.60
2017-10-25,13.4,18.3,10.2,72,18.7,900.3,91,1.30
2017-10-26,12.5,17.4,7.7,64,16.3,904.6,40,1.10
2017-10-27,12.2,18.0,6.9,57,13.1,902.1,42,0.00
2017-10-28,13.0,18.2,8.8,56,18.0,895.1,43,0.10
2017-10-29,10.3,14.9,7.3,79,19.1,891.7,65,2.20
2017-10-30,10.4,16.6,5.0,58,17.0,892.9,12,0.00
2017-10-31,7.5,11.1,3.7,63,15.8,900.4,31,0.00
2017-11-01,4.0,9.0,-0.7,48,13.0,902.8,1,0.00
2017-11-02,4.1,10.2,-0.7,50,9.6,902.2,0,0.00
2017-11-03,6.8,13.8,-0.2,47,7.7,899.1,16,0.00
2017-11-04,7.9,13.7,2.3,62,8.8,898.6,88,0.20
2017-11-05,6.9,7.9,5.9,90,12.3,897.6,99,17.40
2017-11-06,7.4,12.1,4.5,79,14.3,900.5,76,0.30
2017-11-07,7.2,13.1,2.7,72,9.0,904.9,6,0.00
2017-11-08,6.6,12.9,2.3,69,9.5,905.5,1,0.00
2017-11-09,8.0,14.8,1.8,60,6.5,904.1,0,0.00
2017-11-10,8.1,14.4,2.8,61,10.6,901.3,57,0.00
2017-11-11,9.0,15.6,4.3,62,9.7,901.8,2,0.00
2017-11-12,9.5,18.0,2.8,61,8.7,902.9,2,0.00
2017-11-13,11.6,17.0,7.7,45,10.5,899.7,80,0.20
2017-11-14,11.2,17.2,6.9,64,12.2,899.0,44,0.00
2017-11-15,10.0,16.4,5.6,72,9.5,903.9,43,0.00
2017-11-16,10.2,16.3,5.1,66,6.1,904.1,12,0.00
2017-11-17,9.6,16.6,4.1,64,8.4,901.5,1,0.00
2017-11-18,10.2,16.0,6.1,54,6.3,899.8,75,0.00
2017-11-19,9.8,16.9,5.4,56,20.7,895.8,40,0.00
2017-11-20,8.2,14.7,4.7,69,22.1,892.9,64,0.10
2017-11-21,3.4,6.5,-1.1,68,25.5,893.0,59,4.90
2017-11-22,-0.3,5.1,-4.6,59,8.3,900.5,3,0.00
2017-11-23,3.6,9.9,-1.9,66,17.3,901.1,67,0.20
2017-11-24,3.9,10.5,-1.2,71,8.1,902.8,19,0.00
2017-11-25,3.9,10.1,-0.8,73,9.9,904.5,72,0.00
2017-11-26,5.8,12.9,0.7,72,9.9,903.3,40,0.00
2017-11-27,6.9,13.8,1.3,72,13.2,901.1,68,0.50
2017-11-28,7.0,11.2,3.8,82,18.4,896.8,69,3.50
2017-11-29,5.2,11.1,1.3,70,13.1,898.9,17,0.10
2017-11-30,4.7,12.3,-0.2,69,8.7,903.9,2,0.00
2017-12-01,6.0,13.2,0.1,73,7.6,904.9,24,0.00
2017-12-02,7.7,15.1,1.6,67,7.5,905.3,30,0.00
2017-12-03,9.8,17.5,5.3,50,7.8,906.8,26,0.00
2017-12-04,9.7,18.7,4.6,40,9.4,903.7,64,0.00
2017-12-05,5.0,8.0,1.1,69,12.7,897.3,61,4.40
2017-12-06,-0.4,2.0,-2.4,64,28.3,900.1,51,0.50
2017-12-07,-1.1,3.8,-4.9,64,15.6,906.4,12,0.00
2017-12-08,0.7,6.2,-3.4,60,7.6,907.2,0,0.00
2017-12-09,4.1,12.1,0.8,57,12.1,904.0,7,0.00
2017-12-10,5.9,11.1,2.2,77,23.4,902.3,28,0.00
2017-12-11,7.1,13.9,2.6,74,9.6,906.4,36,0.00
2017-12-12,6.5,14.0,1.9,72,6.3,905.6,28,0.00
2017-12-13,6.0,12.5,0.3,68,9.0,902.1,1,0.00
2017-12-14,5.3,11.7,-0.2,67,7.2,899.3,41,0.00
2017-12-15,3.8,11.0,-0.7,74,7.7,899.7,1,0.00
2017-12-16,5.5,13.5,0.8,82,19.1,900.7,36,0.00
2017-12-17,8.4,14.3,3.8,78,21.1,901.0,64,1.10
2017-12-18,8.6,13.5,5.1,81,17.0,899.8,70,0.00
2017-12-19,7.9,13.4,3.9,72,18.7,901.1,63,0.00
2017-12-20,5.4,8.4,3.3,86,12.9,904.1,82,3.90
2017-12-21,5.9,11.8,0.9,81,6.2,905.2,30,0.40
2017-12-22,8.7,14.0,5.1,76,9.2,901.0,69,0.40
2017-12-23,8.4,14.0,0.9,71,27.3,891.1,70,5.60
2017-12-24,0.5,2.0,-0.3,74,24.7,895.6,93,5.20
2017-12-25,-0.0,6.4,-4.4,55,20.8,906.0,5,0.00
2017-12-26,1.8,9.1,-2.5,41,8.0,907.2,3,0.00
2017-12-27,3.6,11.1,-2.0,29,7.3,901.3,61,0.00
2017-12-28,4.3,10.5,-2.4,47,11.6,898.6,10,0.00
2017-12-29,4.8,10.3,0.2,78,23.1,898.2,49,0.00
2017-12-30,4.4,10.7,1.0,78,16.5,895.6,46,0.10
2017-12-31,2.6,5.3,0.7,93,7.3,896.7,90,7.80
2018-01-01,2.5,7.4,-1.7,77,9.7,897.7,22,0.00
2018-01-02,2.0,9.5,-3.5,73,10.0,896.0,36,0.00
2018-01-03,5.5,11.9,0.7,75,17.4,894.0,70,0.10
2018-01-04,4.5,9.7,0.5,79,13.5,889.3,69,1.00
2018-01-05,4.2,8.4,0.1,79,18.1,891.0,94,0.00
2018-01-06,4.2,8.2,0.9,74,10.8,902.2,48,0.10
2018-01-07,1.5,9.1,-3.7,78,7.0,909.0,0,0.00
2018-01-08,2.8,8.9,-1.7,54,6.8,912.2,5,0.00
2018-01-09,4.0,9.5,1.7,58,9.8,911.2,78,0.00
2018-01-10,1.8,6.6,-0.6,72,7.1,907.8,82,0.00
2018-01-11,4.2,10.9,-0.8,61,10.7,897.4,79,0.00
2018-01-12,4.7,11.4,1.4,78,13.3,898.5,51,0.60
2018-01-13,4.4,9.6,0.4,84,9.4,898.9,49,0.70
2018-01-14,3.3,8.1,-0.5,80,15.9,895.8,80,1.10
2018-01-15,1.5,5.1,-1.0,71,12.3,905.4,79,0.00
2018-01-16,2.0,9.8,-2.0,72,9.4,902.8,84,0.50
2018-01-17,3.9,10.3,-0.5,70,17.2,893.7,55,0.10
2018-01-18,3.8,11.3,-1.5,78,31.2,882.7,81,6.40
2018-01-19,-0.8,3.1,-4.1,57,19.1,894.7,27,0.00
2018-01-20,1.3,11.3,-4.1,57,12.7,900.0,22,0.00
2018-01-21,4.0,10.2,-0.3,70,14.1,897.9,72,0.00
2018-01-22,4.8,10.4,1.8,83,20.9,887.3,83,5.40
2018-01-23,3.2,4.8,0.9,80,17.1,890.6,94,2.50
2018-01-24,-0.2,1.5,-1.8,69,22.3,900.1,96,2.00
2018-01-25,-3.4,-1.9,-4.6,75,32.3,898.2,99,6.60
2018-01-26,-3.3,-2.0,-4.7,77,22.3,899.1,96,3.00
2018-01-27,-2.8,-1.0,-4.9,80,13.4,906.4,73,0.00
2018-01-28,-4.2,0.8,-9.0,83,9.5,909.0,40,0.00
2018-01-29,-4.3,2.7,-11.3,77,8.4,907.0,8,0.00
2018-01-30,-0.2,7.5,-4.7,63,8.4,905.3,0,0.00
2018-01-31,1.5,9.8,-3.3,63,7.9,903.9,4,0.00
2018-02-01,1.8,10.9,-3.8,60,9.8,904.2,4,0.00
2018-02-02,4.2,11.0,-0.5,81,13.6,905.1,60,0.00
2018-02-03,5.3,9.0,2.0,85,10.4,903.5,99,1.20
2018-02-04,8.7,15.5,4.3,54,18.3,900.2,97,0.00
2018-02-05,7.5,15.2,1.1,54,11.9,899.2,4,0.00
2018-02-06,6.4,14.5,0.5,65,8.8,900.4,6,0.00
2018-02-07,7.0,14.4,0.1,62,9.2,905.1,38,0.00
2018-02-08,9.0,17.4,4.0,70,19.5,900.5,59,3.00
2018-02-09,8.3,14.1,3.3,70,12.0,896.9,60,0.00
2018-02-10,8.1,12.7,4.9,69,8.2,894.8,82,0.10
2018-02-11,10.7,16.8,5.0,56,27.5,888.8,4,0.00
2018-02-12,7.0,13.1,1.8,57,17.7,891.6,37,0.00
2018-02-13,4.5,8.4,1.3,70,8.9,895.4,58,2.40
2018-02-14,6.1,12.2,0.9,61,27.4,898.4,71,0.00
2018-02-15,5.6,12.1,0.2,71,16.7,900.3,64,0.00
2018-02-16,6.2,11.6,2.1,70,13.7,900.1,96,0.00
2018-02-17,7.2,12.3,3.7,64,26.5,898.2,64,0.00
2018-02-18,5.1,9.1,1.3,62,23.2,899.7,6,0.00
2018-02-19,5.1,11.2,-1.0,57,9.6,897.3,77,0.00
2018-02-20,5.3,10.8,1.1,79,12.4,895.3,80,5.40
2018-02-21,5.8,11.7,0.0,78,10.5,893.6,42,1.10
2018-02-22,6.3,13.0,0.3,68,9.5,893.8,32,0.00
2018-02-23,7.2,13.1,1.9,66,7.3,893.3,81,0.50
2018-02-24,6.8,13.9,0.3,66,15.2,891.4,50,0.40
2018-02-25,5.7,10.5,1.9,71,15.6,889.6,55,5.10
2018-02-26,4.7,8.8,1.1,72,16.4,889.7,87,1.50
2018-02-27,6.5,12.7,0.2,68,20.1,890.3,37,0.60
2018-02-28,6.6,12.6,2.2,70,33.2,894.1,68,0.10
2018-03-01,4.0,10.5,-0.1,72,17.6,897.5,56,0.10
2018-03-02,6.1,14.3,-1.6,64,13.4,898.1,87,0.00
2018-03-03,9.3,15.4,4.7,59,20.8,894.3,64,0.00
2018-03-04,10.5,16.6,6.1,63,22.2,892.2,90,0.10
2018-03-05,10.2,18.3,4.6,70,17.1,894.0,85,2.00
2018-03-06,10.8,17.4,5.3,68,21.6,893.4,55,3.90
2018-03-07,12.1,19.1,6.3,60,21.9,897.0,82,0.80
2018-03-08,10.6,17.8,5.9,57,25.1,890.9,53,0.30
2018-03-09,6.9,11.8,2.0,66,16.1,895.4,39,0.20
2018-03-10,7.3,14.0,2.0,59,9.3,898.8,46,0.00
2018-03-11,9.6,17.8,2.6,55,10.5,898.7,47,0.00
2018-03-12,11.2,18.7,3.8,61,15.8,898.8,28,0.00
2018-03-13,10.7,18.9,4.8,61,24.7,895.6,55,0.40
2018-03-14,10.4,15.7,6.5,63,17.9,895.0,57,2.90
2018-03-15,8.1,13.3,4.3,69,15.5,894.4,45,3.10
2018-03-16,7.3,13.8,0.7,60,7.9,897.0,31,0.40
2018-03-17,10.9,19.4,3.4,55,10.0,898.9,51,0.00
2018-03-18,13.7,22.3,7.2,54,17.3,896.2,85,0.00
2018-03-19,13.7,21.2,6.7,47,17.5,893.8,49,0.00
2018-03-20,11.9,17.5,6.6,48,29.8,893.7,35,0.00
2018-03-21,11.6,20.3,5.2,53,17.5,900.8,39,0.00
2018-03-22,13.2,23.3,4.6,37,26.0,898.7,37,0.00
2018-03-23,17.8,23.1,10.8,16,35.6,890.2,80,0.00
2018-03-24,12.4,16.5,5.7,39,37.5,887.1,51,0.90
2018-03-25,8.9,15.0,3.4,55,23.7,898.2,49,0.00
2018-03-26,11.6,20.2,3.3,45,18.3,902.5,46,0.00
2018-03-27,13.9,20.8,7.0,25,22.0,898.4,6,0.00
2018-03-28,13.9,23.9,6.5,34,29.7,894.1,51,0.70
2018-03-29,9.3,14.5,5.3,70,22.4,887.2,81,25.10
2018-03-30,8.1,12.9,4.1,61,12.7,899.9,62,0.00
2018-03-31,9.2,16.0,1.4,57,9.2,903.9,31,0.00
2018-04-01,13.5,21.5,6.1,45,15.7,899.2,62,0.00
2018-04-02,10.5,14.5,5.4,42,21.2,895.3,32,0.30
2018-04-03,8.1,13.4,3.0,44,15.9,903.1,1,0.00
2018-04-04,9.1,16.3,3.0,42,10.2,904.3,0,0.00
2018-04-05,12.0,19.8,5.3,38,9.9,900.6,0,0.00
2018-04-06,14.3,22.5,6.5,38,10.9,896.5,9,0.00
2018-04-07,16.1,22.5,11.7,33,22.6,897.4,17,0.10
2018-04-08,13.4,18.5,7.9,42,21.3,897.5,72,3.10
2018-04-09,10.6,16.1,6.2,61,19.1,897.7,60,2.70
2018-04-10,12.0,17.5,6.2,67,20.5,897.3,81,0.00
2018-04-11,14.7,22.1,7.6,57,10.9,897.5,58,0.00
2018-04-12,15.9,22.8,9.4,54,11.9,898.0,58,1.40
2018-04-13,16.2,22.8,8.6,54,13.9,899.6,16,0.10
2018-04-14,17.1,24.0,10.0,47,13.1,902.0,6,0.70
2018-04-15,15.6,20.9,11.1,40,17.8,904.0,1,0.00
2018-04-16,14.1,21.3,7.4,27,9.9,903.9,22,0.00
2018-04-17,17.3,25.7,8.0,18,8.9,902.8,23,0.00
2018-04-18,18.6,26.7,9.9,32,14.7,903.5,0,0.00
2018-04-19,18.8,25.3,11.8,34,20.0,900.9,55,0.00
2018-04-20,13.3,19.6,6.5,54,26.3,895.5,60,3.80
2018-04-21,8.8,12.7,6.0,55,28.2,897.6,75,3.30
2018-04-22,11.0,17.8,5.2,43,17.2,899.7,10,0.00
2018-04-23,14.9,22.1,6.0,36,8.5,900.7,7,0.00
2018-04-24,16.4,23.7,8.2,37,12.1,900.9,20,0.00
2018-04-25,17.7,24.6,9.9,29,11.4,900.6,14,0.00
2018-04-26,18.3,24.7,12.1,30,17.1,899.1,50,0.00
2018-04-27,18.6,25.5,11.9,33,19.0,897.7,69,0.20
2018-04-28,19.5,24.8,14.9,29,21.5,901.4,47,0.00
2018-04-29,18.5,25.0,12.0,25,13.7,902.4,37,0.00
2018-04-30,19.4,26.2,12.4,24,11.0,899.5,9,0.00
2018-05-01,19.1,27.0,11.3,26,29.0,898.8,16,0.80
2018-05-02,17.7,23.9,11.8,44,21.1,900.2,45,1.20
2018-05-03,18.0,25.0,10.3,49,11.6,899.7,13,0.30
2018-05-04,20.3,28.0,12.8,37,16.9,898.5,23,1.10
2018-05-05,19.4,25.5,14.1,42,18.4,896.7,59,1.10
2018-05-06,16.8,22.7,11.9,54,23.9,896.5,67,1.50
2018-05-07,15.5,23.1,8.7,54,15.6,893.5,40,0.30
2018-05-08,14.7,21.6,9.3,58,14.3,890.3,65,6.00
2018-05-09,15.0,20.4,9.4,60,12.0,892.4,47,2.80
2018-05-10,15.1,22.3,10.0,64,8.8,893.8,59,8.30
2018-05-11,13.5,19.8,8.2,70,12.8,893.4,75,7.40
2018-05-12,13.3,18.9,9.8,72,14.6,893.6,64,5.20
2018-05-13,13.6,19.0,9.4,63,9.8,895.5,43,0.10
2018-05-14,16.0,23.1,9.0,51,11.9,899.0,28,0.60
2018-05-15,17.8,23.7,10.2,45,13.2,903.1,23,0.00
2018-05-16,19.9,26.9,11.4,41,12.8,904.0,25,0.00
2018-05-17,21.1,27.5,15.4,40,20.3,904.7,41,0.00
2018-05-18,21.4,27.8,14.9,43,22.4,903.5,48,0.20
2018-05-19,20.9,26.5,15.0,48,15.0,902.3,65,1.90
2018-05-20,19.5,25.0,14.1,51,17.1,900.9,54,0.30
2018-05-21,18.9,25.2,13.3,58,16.9,901.8,63,3.60
2018-05-22,20.2,26.0,14.6,49,19.3,902.0,54,1.70
2018-05-23,20.5,26.5,14.0,50,11.8,903.0,18,0.00
2018-05-24,21.2,27.9,14.5,42,21.3,900.4,36,0.60
2018-05-25,19.8,26.4,13.8,47,19.0,894.8,29,0.00
2018-05-26,17.9,24.7,13.1,56,10.0,896.7,47,0.40
2018-05-27,19.2,26.2,11.9,52,18.9,898.9,19,0.10
2018-05-28,20.3,27.2,12.9,46,22.9,899.3,20,0.90
2018-05-29,18.0,24.5,13.3,62,15.4,898.2,59,6.20
2018-05-30,17.3,22.0,13.4,70,10.7,897.5,76,7.80
2018-05-31,16.4,21.8,12.9,75,10.7,896.7,73,7.60
2018-06-01,17.0,21.6,13.2,68,19.4,897.7,81,1.60
2018-06-02,18.6,23.7,13.8,50,22.9,899.4,45,0.00
2018-06-03,19.6,24.8,13.7,46,16.1,898.6,31,0.00
2018-06-04,19.8,25.9,12.8,41,12.0,896.4,18,1.10
2018-06-05,20.5,27.3,11.6,37,19.2,896.8,24,0.90
2018-06-06,21.1,27.1,13.5,52,13.0,902.3,22,0.10
2018-06-07,22.0,28.6,13.4,46,14.4,905.5,10,0.00
2018-06-08,22.9,28.1,16.4,43,11.3,904.4,12,0.00
2018-06-09,24.6,31.4,17.0,35,13.0,901.3,3,0.00
2018-06-10,25.3,33.3,17.8,34,20.5,894.9,16,0.00
2018-06-11,24.0,30.9,17.9,43,16.6,893.3,34,0.40
2018-06-12,22.9,28.3,17.9,33,20.1,894.3,25,0.00
2018-06-13,23.2,29.6,15.6,29,12.1,893.7,0,0.00
2018-06-14,23.9,31.1,16.1,35,20.9,894.0,35,0.00
2018-06-15,22.7,29.0,16.3,42,22.1,897.4,35,0.00
2018-06-16,19.5,27.7,14.7,53,30.6,897.8,57,1.60
2018-06-17,19.7,26.0,12.2,52,14.1,896.1,36,0.20
2018-06-18,19.1,23.2,15.5,63,10.5,895.9,59,12.20
2018-06-19,18.7,25.6,12.9,69,21.1,897.6,45,4.30
2018-06-20,19.9,26.1,13.3,61,11.3,900.9,56,0.90
2018-06-21,20.5,27.1,14.1,62,10.4,901.7,31,1.80
2018-06-22,21.0,28.0,14.6,56,22.3,899.8,18,0.40
2018-06-23,21.4,26.5,15.4,53,12.1,899.3,36,0.20
2018-06-24,21.4,26.2,15.8,57,11.0,899.9,20,0.10
2018-06-25,22.7,28.1,18.4,52,16.6,899.4,28,0.40
2018-06-26,23.2,30.7,15.8,51,18.3,898.6,6,0.00
2018-06-27,24.3,32.3,15.1,36,22.1,898.0,4,0.00
2018-06-28,24.6,30.8,18.2,32,20.7,895.1,0,0.00
2018-06-29,22.7,29.9,15.8,40,17.9,894.2,2,0.00
2018-06-30,23.1,30.3,15.0,42,18.5,894.3,4,0.00
2018-07-01,24.3,30.4,17.4,39,15.6,899.4,4,0.00
2018-07-02,26.4,32.2,20.2,35,18.1,902.1,18,0.00
2018-07-03,26.4,31.3,20.9,37,18.4,902.2,17,0.00
2018-07-04,26.1,31.2,20.9,32,21.6,900.7,0,0.00
2018-07-05,24.6,30.1,18.3,31,18.8,898.7,0,0.00
2018-07-06,24.7,30.4,18.3,29,16.6,898.1,0,0.00
2018-07-07,25.3,31.0,19.1,30,17.5,897.4,1,0.00
2018-07-08,26.8,34.5,18.6,26,18.0,896.5,12,0.00
2018-07-09,26.5,34.4,18.5,25,18.8,897.8,0,0.00
2018-07-10,27.2,33.6,19.7,34,16.4,898.7,4,0.00
2018-07-11,28.6,34.8,21.2,34,15.9,898.0,2,0.00
2018-07-12,28.0,33.2,21.8,40,22.3,898.1,12,0.00
2018-07-13,26.9,32.2,21.0,36,24.3,898.0,0,0.00
2018-07-14,25.7,30.8,20.8,40,24.6,896.5,22,0.00
2018-07-15,24.2,29.2,18.9,39,21.0,897.2,21,0.00
2018-07-16,24.1,29.9,18.2,35,20.0,897.7,29,0.00
2018-07-17,23.9,29.9,16.7,35,19.4,898.6,1,0.00
2018-07-18,25.9,33.7,17.5,26,23.0,895.0,15,0.00
2018-07-19,24.3,30.3,18.0,40,15.5,894.8,19,0.00
2018-07-20,24.1,28.5,17.7,39,14.8,896.7,32,0.00
2018-07-21,25.1,29.9,19.7,40,16.4,898.7,25,0.00
2018-07-22,25.7,31.2,20.0,39,20.5,899.1,7,0.00
2018-07-23,26.4,32.8,18.3,32,17.2,897.0,5,0.00
2018-07-24,26.6,32.7,19.5,29,27.5,893.7,17,0.00
2018-07-25,24.2,29.7,17.6,41,14.3,893.9,21,0.00
2018-07-26,24.6,30.6,18.2,47,17.7,897.4,26,0.00
2018-07-27,25.3,31.1,19.0,43,23.1,899.0,23,0.00
2018-07-28,25.2,30.0,19.6,44,12.8,897.7,27,0.00
2018-07-29,26.3,31.6,20.3,38,14.9,896.7,20,0.00
2018-07-30,27.7,33.2,21.5,33,11.7,897.0,19,0.00
2018-07-31,27.5,34.0,22.6,40,22.5,897.5,26,0.00
2018-08-01,25.6,30.9,18.2,51,11.0,899.3,17,0.20
2018-08-02,26.7,30.8,21.5,45,14.7,899.7,17,0.10
2018-08-03,26.0,30.2,21.5,42,16.3,898.8,18,0.00
2018-08-04,25.2,29.8,19.7,40,14.0,898.9,30,0.00
2018-08-05,25.4,30.5,19.7,34,14.0,900.1,27,0.00
2018-08-06,26.2,31.7,20.4,29,15.3,900.9,24,0.00
2018-08-07,25.2,30.5,20.4,41,22.3,900.6,19,0.00
2018-08-08,24.3,28.9,19.5,40,16.7,900.8,15,0.00
2018-08-09,23.7,29.0,18.2,42,19.1,902.6,3,0.00
2018-08-10,23.1,27.7,18.3,42,20.0,903.3,4,0.00
2018-08-11,21.4,26.7,16.0,38,17.0,901.6,0,0.00
2018-08-12,22.4,28.2,16.4,35,15.5,901.2,0,0.00
2018-08-13,22.4,28.0,17.3,29,18.3,900.3,0,0.00
2018-08-14,22.0,28.3,15.0,30,16.7,899.7,0,0.00
2018-08-15,23.8,30.3,16.6,27,13.5,898.9,0,0.00
2018-08-16,25.7,32.7,17.6,19,14.0,898.7,0,0.00
2018-08-17,27.1,34.3,18.9,20,13.8,898.1,0,0.00
2018-08-18,26.8,32.6,19.8,35,16.2,897.1,12,0.00
2018-08-19,24.3,28.9,20.0,38,18.4,899.3,5,0.00
2018-08-20,23.7,29.3,18.0,30,17.7,899.2,0,0.00
2018-08-21,25.0,31.6,17.9,26,13.6,900.0,15,0.00
2018-08-22,25.7,31.6,19.9,31,16.8,901.1,8,0.00
2018-08-23,24.9,31.0,19.0,24,15.3,901.0,0,0.00
2018-08-24,25.9,32.7,18.3,24,9.8,899.9,0,0.00
2018-08-25,27.2,34.2,20.1,25,14.7,898.2,0,0.00
2018-08-26,26.7,33.8,18.9,38,14.5,896.0,8,0.00
2018-08-27,27.4,33.8,20.2,36,21.1,895.3,13,0.00
2018-08-28,26.7,33.4,19.0,36,13.1,896.5,5,0.00
2018-08-29,25.8,32.4,18.6,42,12.5,897.4,6,0.00
2018-08-30,25.1,30.7,19.2,45,14.6,900.1,6,0.00
2018-08-31,26.2,31.5,21.1,37,16.9,902.5,3,0.00
2018-09-01,26.0,32.0,20.5,32,14.3,903.4,0,0.00
2018-09-02,26.3,32.2,19.3,26,14.8,902.3,0,0.00
2018-09-03,25.4,31.5,19.7,31,16.2,900.4,0,0.00
2018-09-04,25.9,32.9,18.3,28,9.1,898.6,3,0.00
2018-09-05,26.2,34.2,18.8,34,19.5,896.7,5,0.00
2018-09-06,22.6,28.0,17.4,40,13.8,894.9,15,0.00
2018-09-07,20.8,25.8,15.6,44,12.5,898.1,38,0.10
2018-09-08,20.5,25.3,15.5,38,12.1,900.6,30,0.00
2018-09-09,18.1,20.5,15.3,45,14.4,900.7,72,3.20
2018-09-10,19.1,24.4,14.2,44,14.7,901.3,17,0.00
2018-09-11,18.6,24.4,12.2,45,13.4,903.5,27,0.00
2018-09-12,20.0,25.4,14.2,38,12.2,903.5,38,0.00
2018-09-13,21.5,29.4,17.0,41,20.9,899.7,19,0.30
2018-09-14,18.9,25.5,12.1,50,18.2,899.9,17,0.00
2018-09-15,18.1,23.8,11.9,54,16.3,902.6,33,0.00
2018-09-16,19.1,24.6,13.8,46,16.2,904.4,6,0.00
2018-09-17,19.8,24.8,15.8,44,19.8,904.8,1,0.00
2018-09-18,19.1,24.3,14.5,48,18.1,904.0,2,0.00
2018-09-19,19.2,25.3,13.4,45,14.0,904.0,0,0.00
2018-09-20,19.5,26.4,12.2,29,12.8,902.8,21,0.00
2018-09-21,20.2,27.3,13.5,26,12.6,902.2,1,0.00
2018-09-22,21.0,28.6,13.8,30,15.5,903.0,0,0.00
2018-09-23,21.6,29.0,13.5,25,13.1,904.9,0,0.00
2018-09-24,22.4,30.5,14.4,19,10.2,904.1,0,0.00
2018-09-25,21.7,29.3,14.8,33,24.4,901.5,2,0.00
2018-09-26,14.0,17.1,11.1,64,23.5,904.0,69,0.00
2018-09-27,14.0,19.5,9.6,60,19.9,905.9,42,0.00
2018-09-28,17.3,25.1,9.3,50,10.6,904.5,5,0.00
2018-09-29,19.6,28.3,11.8,51,16.1,903.0,37,0.00
2018-09-30,20.2,25.8,14.4,54,24.5,902.7,57,0.00
2018-10-01,18.6,24.6,13.8,56,21.4,900.9,46,0.00
2018-10-02,17.8,25.4,10.3,51,7.9,903.5,15,0.00
2018-10-03,18.7,25.4,12.1,40,8.4,904.5,43,0.00
2018-10-04,19.0,25.6,13.3,44,17.1,905.8,35,0.00
2018-10-05,15.7,20.5,12.0,57,17.2,909.0,38,0.00
2018-10-06,13.4,19.7,8.1,49,14.1,906.9,2,0.00
2018-10-07,14.1,21.1,7.4,45,10.6,901.8,0,0.00
2018-10-08,17.3,23.7,10.5,33,8.9,901.1,20,0.00
2018-10-09,17.1,23.8,11.5,49,19.8,901.2,43,0.40
2018-10-10,14.9,20.4,10.4,67,10.7,901.9,32,2.20
2018-10-11,14.9,20.0,10.1,69,13.0,902.6,39,1.10
2018-10-12,14.8,21.2,9.8,73,12.0,903.0,55,4.90
2018-10-13,13.7,18.7,10.5,81,7.2,903.9,66,4.70
2018-10-14,13.8,20.0,8.5,69,6.2,903.9,5,0.00
2018-10-15,15.3,22.0,9.7,60,9.3,903.4,35,0.00
2018-10-16,16.1,23.8,11.4,62,14.1,903.4,35,1.60
2018-10-17,15.6,22.4,11.1,69,8.4,902.4,28,1.70
2018-10-18,16.6,22.0,11.1,61,8.4,901.9,50,0.00
2018-10-19,17.0,22.7,12.4,58,15.8,902.3,61,0.20
2018-10-20,15.3,22.6,10.0,62,13.4,901.1,16,1.00
2018-10-21,12.8,16.6,9.9,80,9.4,899.4,49,5.90
2018-10-22,12.9,17.3,8.4,72,8.5,902.2,73,0.00
2018-10-23,13.8,20.2,7.9,66,7.7,900.7,65,0.00
2018-10-24,14.5,21.0,9.5,62,24.8,894.1,64,2.10
2018-10-25,8.0,12.3,3.3,77,28.2,887.9,74,10.30
2018-10-26,5.0,10.2,1.6,60,25.2,900.0,15,0.00
2018-10-27,6.7,13.2,0.9,55,7.7,907.1,1,0.00
2018-10-28,10.0,17.6,3.3,52,6.4,909.1,0,0.00
2018-10-29,11.7,19.3,5.5,41,6.1,908.4,3,0.00
2018-10-30,12.7,19.6,6.9,38,6.0,908.4,37,0.00
2018-10-31,12.7,19.7,7.6,42,8.0,909.5,25,0.00
2018-11-01,12.4,19.2,6.3,43,11.5,910.2,0,0.00
2018-11-02,13.0,19.5,7.8,42,12.0,908.3,0,0.00
2018-11-03,10.5,16.7,5.4,48,13.0,905.1,0,0.00
2018-11-04,10.7,17.0,4.7,53,17.9,904.1,23,0.00
2018-11-05,11.1,15.8,8.1,50,20.0,901.7,50,0.10
2018-11-06,9.3,15.2,4.0,49,14.8,901.2,10,0.00
2018-11-07,8.5,14.5,3.9,66,8.9,902.8,0,0.00
2018-11-08,8.9,16.5,2.4,61,14.6,902.1,10,0.00
2018-11-09,9.1,15.3,4.1,59,8.7,901.1,28,0.00
2018-11-10,8.7,14.6,3.7,55,12.9,900.9,19,0.00
2018-11-11,8.5,14.0,3.6,55,11.9,902.9,29,0.00
2018-11-12,9.5,15.1,6.1,55,11.3,905.5,5,0.00
2018-11-13,7.4,12.4,3.0,59,15.6,904.3,4,0.00
2018-11-14,4.6,8.6,0.8,64,14.0,901.3,21,0.00
2018-11-15,2.8,7.4,-1.8,58,7.9,898.6,26,0.00
2018-11-16,3.1,8.4,-1.3,60,12.0,901.0,35,1.60
2018-11-17,2.0,4.7,-1.4,69,5.2,907.1,75,0.40
2018-11-18,5.9,12.8,-1.0,68,9.3,904.2,68,0.00
2018-11-19,9.5,17.1,3.2,66,14.0,901.0,50,0.00
